Area,Dimensao,Estrategia,Peso,OrdemArea,OrdemDimensao,OrdemEstrategia
Família,Básico,Conversar com meus pais sobre como foi meu dia.,1,1,1,1
Família,Básico,Ajudar em uma tarefa de casa sem que me peçam.,1,1,1,2
Família,Básico,Dar um abraço de carinho em alguém da família.,1,1,1,3
Família,Básico,Participar de uma refeição em família sem celular.,1,1,1,4
Família,Básico,Ouvir com atenção a opinião de um familiar.,1,1,1,5
Família,Básico,Fazer uma oração pela minha família.,1,1,1,6
Família,Básico,Escrever uma mensagem positiva para um parente.,1,1,1,7
Família,Básico,Organizar meu quarto ou espaço pessoal.,1,1,1,8
Família,Básico,Agradecer algo que alguém da família fez por mim.,1,1,1,9
Família,Básico,Contar uma lembrança boa para alguém da família.,1,1,1,10
Família,Desafio,Preparar uma refeição simples para a família.,2,1,2,1
Família,Desafio,Fazer um planejamento de tarefas domésticas para a semana.,2,1,2,2
Família,Desafio,Conversar sobre finanças familiares com responsabilidade.,2,1,2,3
Família,Desafio,Acompanhar um familiar em um compromisso importante.,2,1,2,4
Família,Desafio,Escrever uma carta de gratidão para um membro da família.,2,1,2,5
Família,Desafio,Medir e reduzir meu tempo de tela durante o tempo em família.,2,1,2,6
Família,Desafio,Organizar um momento devocional familiar curto.,2,1,2,7
Família,Desafio,Resolver um pequeno conflito propondo um acordo justo.,2,1,2,8
Família,Desafio,Escanear/organizar fotos antigas da família e compartilhar.,2,1,2,9
Família,Desafio,Criar um calendário de aniversários e datas especiais.,2,1,2,10
Família,Desafio,Cuidar de um animal de estimação ou planta da casa.,2,1,2,11
Família,Desafio,Aprender e ensinar uma receita tradicional da família.,2,1,2,12
Família,Avançado,Planejar e conduzir um culto familiar semanal de 30 minutos.,3,1,3,1
Família,Avançado,Montar orçamento doméstico básico e acompanhar por 2 semanas.,3,1,3,2
Família,Avançado,Medir e reduzir discussões recorrentes com técnicas de mediação.,3,1,3,3
Família,Avançado,"Criar e executar um projeto familiar (horta, reforma, doação).",3,1,3,4
Família,Avançado,Acompanhar um irmão/parentesco em rotina de estudos por 2 semanas.,3,1,3,5
Família,Avançado,Desenvolver um manual de tarefas domésticas compartilhadas.,3,1,3,6
Família,Avançado,Promover um dia de reconciliação: pedir perdão e perdoar.,3,1,3,7
Família,Avançado,Organizar um encontro de gerações e registrar histórias.,3,1,3,8
Família,Avançado,Implantar regras de uso de telas e revisar em família.,3,1,3,9
Família,Avançado,Praticar orçamento do tempo: bloco de atividades familiares.,3,1,3,10
Família,Avançado,Conduzir um plano de oração por familiares específicos.,3,1,3,11
Família,Avançado,Facilitar uma conversa sobre vocação com um membro da família.,3,1,3,12
Família,Avançado,Estabelecer uma noite de jogos sem telas por 3 semanas.,3,1,3,13
Família,Avançado,Criar um álbum digital com curadoria e legendas significativas.,3,1,3,14
Família,Avançado,Implantar check-ins semanais sobre clima familiar.,3,1,3,15
Igreja,Básico,Ler um verso bíblico curto por dia.,1,2,1,1
Igreja,Básico,Anotar uma frase marcante do sermão ou estudo.,1,2,1,2
Igreja,Básico,Cumprimentar calorosamente alguém que eu não conheço bem.,1,2,1,3
Igreja,Básico,Participar ativamente de uma oração coletiva.,1,2,1,4
Igreja,Básico,Compartilhar uma reflexão nas redes sociais.,1,2,1,5
Igreja,Básico,Convidar um amigo para vir à igreja comigo.,1,2,1,6
Igreja,Básico,Ajudar a recolher materiais ou organizar cadeiras.,1,2,1,7
Igreja,Básico,Cantar com alegria durante o louvor.,1,2,1,8
Igreja,Básico,Fazer uma oração silenciosa por alguém da igreja.,1,2,1,9
Igreja,Básico,Agradecer a um líder ou professor da igreja.,1,2,1,10
Igreja,Desafio,Preparar a leitura pública de um salmo ou texto.,2,2,2,1
Igreja,Desafio,Apoiar voluntariamente uma classe infantil por um dia.,2,2,2,2
Igreja,Desafio,Ensaiar e apresentar um hino/leitura responsiva.,2,2,2,3
Igreja,Desafio,Visitar alguém ausente e levar uma palavra de ânimo.,2,2,2,4
Igreja,Desafio,Participar da organização de um pequeno evento da igreja.,2,2,2,5
Igreja,Desafio,Fazer um estudo bíblico guiado de 20 minutos com alguém.,2,2,2,6
Igreja,Desafio,Planejar e cumprir um plano semanal de leitura devocional.,2,2,2,7
Igreja,Desafio,Levantar e registrar pedidos de oração ao longo da semana.,2,2,2,8
Igreja,Desafio,Apoiar a mídia/sonoplastia como auxiliar.,2,2,2,9
Igreja,Desafio,Ajudar na limpeza/arrumação após um programa.,2,2,2,10
Igreja,Desafio,Conduzir uma oração intercessória específica por alguém.,2,2,2,11
Igreja,Desafio,Escrever e compartilhar um breve testemunho pessoal.,2,2,2,12
Igreja,Avançado,Liderar pequeno grupo/PG por 3 encontros consecutivos.,3,2,3,1
Igreja,Avançado,Preparar e conduzir uma meditação de 10–15 minutos.,3,2,3,2
Igreja,Avançado,Organizar e executar uma ação missionária simples.,3,2,3,3
Igreja,Avançado,"Coordenar logística de um programa (escala, materiais, tempo).",3,2,3,4
Igreja,Avançado,Acompanhar discipulado de 1 pessoa por 3 semanas.,3,2,3,5
Igreja,Avançado,Elaborar e cumprir plano de leitura bíblica diário (21–30 dias).,3,2,3,6
Igreja,Avançado,Treinar e atuar em equipe de recepção/acolhimento.,3,2,3,7
Igreja,Avançado,Produzir uma série de 3 posts devocionais.,3,2,3,8
